학교,연도,국어,수학,영어,과학
Maldonado-Nelson,2020,98,88,74,67
Pierce-Roman,2020,80,98,78,82
"Morris, Ross and Santana",2020,70,70,83,95
Roberts-Hall,2020,99,83,62,81
Nelson-Braun,2020,61,83,89,97
Mckinney-Decker,2020,61,80,92,71
"Dawson, Ruiz and Aguirre",2020,81,84,86,87
Parrish-Powell,2020,75,74,62,96
Maldonado-Nelson,2021,66,80,68,98
Pierce-Roman,2021,77,63,84,73
"Morris, Ross and Santana",2021,68,85,61,79
Roberts-Hall,2021,87,66,67,94
Nelson-Braun,2021,73,76,95,99
Mckinney-Decker,2021,63,61,65,63
"Dawson, Ruiz and Aguirre",2021,88,77,85,93
Parrish-Powell,2021,69,95,73,90
Maldonado-Nelson,2022,74,67,73,82
Pierce-Roman,2022,99,80,75,77
"Morris, Ross and Santana",2022,83,85,84,88
Roberts-Hall,2022,74,60,84,66
Nelson-Braun,2022,68,83,60,67
Mckinney-Decker,2022,83,70,76,67
"Dawson, Ruiz and Aguirre",2022,94,94,92,64
Parrish-Powell,2022,98,87,66,68
Maldonado-Nelson,2023,67,71,93,92
Pierce-Roman,2023,82,83,96,94
"Morris, Ross and Santana",2023,99,81,86,94
Roberts-Hall,2023,60,94,96,73
Nelson-Braun,2023,62,60,64,85
Mckinney-Decker,2023,73,98,86,68
"Dawson, Ruiz and Aguirre",2023,74,74,85,72
Parrish-Powell,2023,91,98,91,63
