고객ID,연령,성별,지역,카테고리,구매금액,구매수량,리뷰점수,불만제기,구매일자,연도
5459,56,여성,대구,의류,366124.0,9,2.1,0,2022-06-15,2022
7582,69,남성,서울,도서,189980.0,3,1.1,0,2022-02-14,2022
8425,46,남성,인천,의류,95457.0,1,4.9,0,2023-03-29,2023
1506,32,여성,인천,식품,154129.0,4,2.0,0,2022-05-08,2022
8073,60,남성,광주,전자제품,74028.0,9,3.7,1,2021-01-12,2021
6524,25,남성,부산,식품,129246.0,4,3.8,0,2021-07-14,2021
9266,38,여성,서울,식품,327875.0,2,3.4,0,2022-05-05,2022
4181,56,남성,부산,도서,165930.0,5,2.3,0,2023-03-06,2023
2431,36,남성,서울,전자제품,189761.0,3,2.1,1,2023-05-31,2023
4712,40,남성,광주,전자제품,54638.0,9,3.4,1,2021-07-01,2021
6728,28,여성,광주,전자제품,494814.0,4,4.5,0,2023-08-20,2023
9303,28,여성,인천,전자제품,187558.0,6,4.8,0,2022-10-18,2022
9390,41,여성,부산,전자제품,30567.0,2,1.4,0,2022-11-25,2022
5495,53,남성,인천,도서,432955.0,6,1.6,0,2021-01-30,2021
7069,57,남성,부산,의류,67804.0,3,4.8,0,2023-02-17,2023
4893,41,여성,인천,식품,380965.0,9,3.9,0,2022-03-20,2022
2563,20,남성,대구,전자제품,13754.0,2,4.5,0,2021-10-25,2021
9136,39,남성,대구,의류,37044.0,9,1.8,0,2023-03-19,2023
2842,19,여성,대구,의류,77260.0,5,3.4,1,2023-04-25,2023
2504,41,여성,대구,식품,76912.0,8,3.8,0,2023-10-13,2023
7883,61,남성,서울,도서,266695.0,2,3.7,0,2022-07-08,2022
1740,47,남성,대구,가구,18706.0,6,2.6,0,2021-10-30,2021
2148,55,남성,광주,가구,281038.0,3,1.1,0,2022-02-25,2022
1290,19,여성,광주,의류,421253.0,5,3.3,0,2021-07-04,2021
4799,38,여성,서울,식품,356130.0,8,2.0,0,2022-04-13,2022
2740,50,여성,대구,가구,,1,2.8,1,2023-01-24,2023
3789,29,여성,대구,의류,192684.0,5,4.8,0,2021-12-29,2021
6544,39,남성,대구,도서,39725.0,3,2.6,0,2021-12-02,2021
9776,61,여성,인천,가구,146998.0,4,4.4,0,2021-06-11,2021
6204,42,여성,부산,의류,114555.0,2,1.8,0,2021-01-12,2021
5800,66,여성,인천,의류,271486.0,9,3.7,0,2022-08-11,2022
1257,44,여성,부산,전자제품,281640.0,3,4.9,0,2021-07-20,2021
3605,59,여성,대구,도서,66447.0,2,1.4,0,2022-06-06,2022
2621,45,남성,대구,전자제품,373748.0,9,1.0,0,2022-05-20,2022
7223,33,남성,인천,식품,170878.0,7,2.7,0,2023-02-27,2023
2370,32,여성,인천,전자제품,360343.0,6,1.4,0,2023-11-29,2023
4701,64,남성,부산,전자제품,,1,4.0,0,2021-03-01,2021
2006,68,여성,광주,가구,263113.0,5,4.7,0,2022-08-01,2022
9090,61,여성,부산,의류,243103.0,3,2.7,0,2021-11-17,2021
2034,69,남성,인천,도서,468311.0,1,,0,2023-07-12,2023
6922,20,남성,인천,전자제품,425872.0,4,2.7,0,2022-07-23,2022
1033,54,여성,서울,도서,65147.0,2,,0,2022-06-11,2022
8621,68,여성,인천,전자제품,101396.0,2,1.0,0,2022-06-08,2022
2152,24,여성,서울,식품,452882.0,3,3.4,1,2022-09-05,2022
5439,38,남성,광주,전자제품,485584.0,8,3.5,1,2021-05-05,2021
3080,26,여성,부산,가구,310931.0,8,3.6,0,2023-05-21,2023
1261,56,여성,부산,의류,254839.0,7,,0,2021-10-07,2021
7726,35,여성,서울,식품,,6,3.9,0,2023-07-06,2023
7211,21,남성,부산,전자제품,31727.0,9,1.4,0,2022-09-14,2022
4275,42,여성,인천,도서,249423.0,4,1.8,0,2023-04-26,2023
3704,31,여성,대구,식품,,1,4.5,0,2022-11-05,2022
9468,67,남성,서울,식품,394865.0,8,4.0,0,2021-11-10,2021
1523,26,여성,부산,전자제품,251130.0,7,1.1,0,2021-11-28,2021
7150,43,여성,서울,식품,78056.0,7,2.0,0,2021-02-05,2021
5979,19,남성,서울,도서,144153.0,3,1.9,0,2023-11-12,2023
3002,37,여성,대구,식품,175268.0,4,2.1,0,2021-07-25,2021
1094,45,남성,인천,도서,,9,2.0,0,2022-10-01,2022
8537,64,남성,서울,전자제품,245821.0,6,1.3,0,2023-04-28,2023
4812,24,여성,부산,의류,90102.0,5,2.8,1,2022-03-16,2022
9620,61,여성,광주,식품,482794.0,3,3.9,0,2022-12-30,2022
8475,25,여성,서울,의류,,9,3.4,0,2023-07-30,2023
5229,64,여성,서울,도서,86865.0,5,3.7,0,2021-06-13,2021
3208,52,남성,대구,식품,172728.0,5,1.3,1,2021-05-28,2021
2826,31,여성,인천,가구,77695.0,4,4.8,0,2021-10-21,2021
2920,34,남성,광주,의류,441116.0,4,4.4,0,2021-07-14,2021
1363,53,여성,부산,식품,127235.0,1,4.2,0,2022-10-25,2022
4435,67,여성,광주,의류,488115.0,7,4.3,0,2022-04-25,2022
4909,57,여성,부산,식품,450917.0,9,,0,2021-05-03,2021
4039,21,남성,인천,전자제품,118777.0,3,3.2,0,2022-11-30,2022
3730,19,여성,부산,의류,,2,1.8,0,2023-08-23,2023
3033,23,여성,대구,가구,151877.0,3,3.5,0,2022-10-23,2022
1144,59,여성,대구,가구,176923.0,1,4.0,1,2022-12-11,2022
4358,21,여성,대구,도서,36832.0,6,4.0,0,2022-01-31,2022
8592,46,남성,대구,식품,204509.0,7,3.1,0,2023-07-01,2023
1476,35,여성,광주,의류,387869.0,2,1.3,0,2023-10-02,2023
7763,43,남성,인천,도서,,8,2.5,0,2021-11-13,2021
