고객ID,연령,성별,지역,상품군,구매금액,구매수량,반품여부,리뷰점수,가입일
C0103,42,남성,대구,도서,36928.0,9,0,2.0,2021-03-10
C0180,51,남성,인천,가구,28322.0,1,0,5.0,2021-07-24
C0093,56,남성,부산,전자제품,67714.0,2,0,3.0,2019-09-08
C0015,31,여성,서울,식품,97896.0,6,0,,2023-10-14
C0107,68,남성,광주,전자제품,,5,0,3.0,2019-10-18
C0072,32,여성,광주,식품,39055.0,7,0,4.0,2023-07-27
C0189,42,여성,대구,식품,52891.0,3,0,3.0,2022-05-09
C0021,44,여성,광주,전자제품,91912.0,3,0,3.0,2023-12-26
C0103,54,여성,인천,도서,16588.0,2,0,2.0,2019-11-22
C0122,60,여성,인천,식품,16304.0,3,0,3.0,2023-03-15
C0075,49,여성,대구,전자제품,17345.0,1,0,3.0,2022-12-03
C0088,36,남성,인천,식품,,5,0,,2023-06-19
C0117,68,남성,부산,의류,34259.0,5,0,4.0,2023-12-19
C0100,39,여성,대구,도서,98553.0,7,0,2.0,2021-04-16
C0104,67,여성,부산,가구,25352.0,4,0,1.0,2020-05-22
C0152,44,남성,서울,식품,43365.0,3,0,2.0,2020-12-31
C0131,41,여성,부산,의류,29446.0,1,0,4.0,2023-06-13
C0150,32,여성,서울,가구,12336.0,8,1,4.0,2019-03-13
C0053,38,남성,서울,가구,,3,0,5.0,2022-06-24
C0002,68,여성,부산,식품,85415.0,2,0,1.0,2020-10-02
C0088,55,여성,대구,전자제품,17521.0,4,0,3.0,2023-10-14
C0158,31,여성,인천,식품,81707.0,3,0,3.0,2021-07-28
C0038,60,남성,인천,의류,33481.0,1,0,4.0,2020-08-30
C0130,38,남성,서울,가구,28474.0,3,0,4.0,2023-05-30
C0192,31,남성,서울,식품,56760.0,2,0,4.0,2020-07-19
C0188,28,여성,대구,전자제품,65718.0,8,0,4.0,2022-09-29
C0021,26,여성,광주,식품,54629.0,6,0,2.0,2019-02-23
C0161,47,남성,부산,도서,55232.0,9,0,4.0,2023-10-20
C0058,33,여성,서울,전자제품,96544.0,8,0,2.0,2020-06-11
C0022,50,여성,인천,의류,77169.0,3,0,4.0,2020-09-02
C0089,38,여성,대구,가구,60669.0,5,0,3.0,2023-04-05
C0049,66,여성,부산,식품,88021.0,7,0,3.0,2023-05-01
C0059,35,여성,대구,전자제품,79184.0,5,0,5.0,2019-07-12
C0170,24,남성,부산,도서,57945.0,8,0,5.0,2019-02-27
C0188,54,여성,부산,전자제품,23140.0,5,1,4.0,2022-12-31
C0015,31,남성,서울,도서,93457.0,1,0,3.0,2022-02-08
C0190,44,여성,대구,의류,24357.0,5,1,4.0,2019-05-09
C0190,40,남성,대구,가구,78673.0,4,0,3.0,2020-12-06
C0175,55,여성,인천,의류,75633.0,6,0,5.0,2021-05-01
C0190,42,남성,인천,식품,86943.0,3,0,3.0,2022-09-11
C0051,35,여성,서울,전자제품,88258.0,5,0,,2019-01-08
C0108,58,남성,서울,도서,22924.0,2,0,5.0,2019-01-29
C0055,64,여성,광주,도서,79286.0,6,0,4.0,2022-02-09
C0064,61,남성,인천,전자제품,84071.0,6,0,3.0,2021-08-04
C0131,58,여성,부산,전자제품,67326.0,5,0,2.0,2023-08-24
C0051,33,남성,대구,식품,40651.0,6,0,5.0,2019-05-11
C0135,50,남성,서울,의류,80202.0,7,0,2.0,2019-07-07
C0021,24,여성,대구,도서,58777.0,5,1,5.0,2023-08-26
C0073,54,여성,대구,식품,26994.0,1,0,3.0,2020-12-09
C0167,42,남성,광주,의류,77263.0,8,1,3.0,2023-02-07
C0018,48,여성,인천,식품,69634.0,4,0,5.0,2022-10-19
C0132,62,남성,서울,도서,20800.0,9,0,4.0,2022-05-12
C0089,30,남성,대구,전자제품,,6,0,4.0,2019-07-31
C0060,37,남성,서울,전자제품,73878.0,1,0,4.0,2023-07-03
C0014,66,여성,부산,의류,28708.0,3,0,3.0,2019-10-03
C0009,31,남성,광주,가구,22819.0,3,0,4.0,2022-01-01
C0090,28,남성,부산,의류,84905.0,4,0,3.0,2023-08-30
C0053,29,여성,서울,가구,73870.0,6,0,5.0,2023-12-01
C0130,63,여성,서울,식품,19283.0,7,1,5.0,2019-08-31
C0084,36,여성,인천,식품,40573.0,4,0,3.0,2023-12-16
C0092,57,여성,대구,도서,88707.0,6,0,4.0,2022-01-30
C0111,26,남성,대구,가구,40933.0,1,0,4.0,2021-09-13
C0188,65,남성,부산,도서,15774.0,8,0,3.0,2020-11-15
C0199,32,남성,광주,전자제품,82055.0,7,0,,2019-06-20
C0172,59,남성,대구,가구,20983.0,9,0,1.0,2020-10-14
C0008,61,여성,인천,의류,,3,0,3.0,2019-07-07
