고객ID,상품ID,구매일,구매금액,구매수량,결제방식,리뷰작성,배송만족도,반품여부
C0103,P004,2022-07-11,289564.0,2,포인트,0,3.0,0
C0271,P015,2022-01-17,125575.0,1,포인트,1,4.0,0
C0107,P006,2023-06-08,263230.0,3,카드,1,3.0,0
C0072,P049,2023-02-05,296444.0,3,포인트,0,3.0,0
C0189,P030,2023-12-06,15749.0,3,포인트,0,3.0,1
C0021,P038,2022-01-22,109131.0,3,현금,0,3.0,0
C0103,P002,2023-04-19,161193.0,2,현금,1,5.0,0
C0122,P015,2022-04-30,230019.0,2,카드,1,2.0,0
C0215,P011,2022-07-29,288367.0,4,현금,0,5.0,1
C0088,P008,2022-11-02,,1,카드,0,4.0,0
C0100,P026,2022-09-27,150128.0,3,간편결제,1,4.0,0
C0152,P045,2023-12-05,295524.0,2,카드,0,3.0,0
C0131,P044,2023-11-18,293179.0,1,간편결제,0,4.0,0
C0150,P005,2022-10-12,297764.0,1,카드,0,1.0,0
C0258,P006,2023-12-17,261553.0,2,포인트,1,4.0,0
C0294,P026,2023-11-07,200113.0,3,현금,0,1.0,1
C0192,P004,2022-08-15,58352.0,4,간편결제,0,5.0,1
C0277,P019,2023-01-16,168856.0,1,카드,1,,0
C0161,P020,2023-04-05,8191.0,4,현금,0,2.0,0
C0022,P033,2022-01-07,109576.0,3,카드,0,2.0,0
C0253,P020,2022-01-29,200713.0,3,현금,0,4.0,0
C0236,P049,2022-02-02,,4,현금,0,2.0,0
C0049,P012,2023-10-08,142244.0,3,카드,1,5.0,0
C0059,P047,2022-03-20,225169.0,1,간편결제,0,2.0,0
C0170,P001,2023-04-04,95353.0,4,간편결제,0,2.0,0
C0188,P026,2023-07-24,33671.0,3,포인트,0,,0
C0271,P014,2023-06-22,127811.0,4,현금,1,4.0,0
C0190,P038,2023-04-27,187503.0,1,포인트,1,4.0,0
C0175,P037,2023-03-06,226972.0,3,포인트,0,3.0,0
C0051,P011,2022-10-12,258211.0,1,카드,0,4.0,0
C0055,P036,2023-05-31,229033.0,3,카드,1,3.0,0
C0244,P013,2022-04-09,224861.0,2,카드,0,4.0,0
C0131,P043,2023-02-01,159544.0,3,현금,1,4.0,0
C0135,P003,2023-05-04,185302.0,4,카드,1,3.0,0
C0021,P033,2022-02-08,12099.0,3,카드,1,3.0,0
C0167,P006,2022-09-28,254686.0,1,현금,0,2.0,0
C0274,P050,2022-06-06,61492.0,1,현금,0,4.0,0
C0089,P010,2022-03-16,101722.0,3,간편결제,1,2.0,0
C0014,P005,2022-05-10,35111.0,4,카드,0,4.0,0
C0242,P023,2023-11-18,68936.0,2,카드,0,2.0,0
C0265,P010,2022-03-25,158686.0,4,카드,1,4.0,0
C0053,P044,2022-01-22,228332.0,2,간편결제,1,4.0,0
C0092,P002,2023-04-04,206548.0,1,카드,0,2.0,0
C0264,P013,2023-06-23,254031.0,4,간편결제,0,1.0,0
C0035,P040,2023-12-08,68530.0,2,포인트,0,2.0,0
C0206,P002,2023-01-17,274932.0,3,간편결제,1,4.0,0
C0081,P020,2023-03-16,33082.0,1,포인트,1,4.0,0
C0050,P001,2023-08-27,94570.0,3,카드,0,1.0,0
C0002,P037,2022-01-21,106015.0,1,포인트,0,4.0,0
C0054,P009,2022-10-30,212888.0,4,간편결제,1,3.0,0
C0106,P017,2022-03-25,152603.0,4,현금,0,3.0,0
C0260,P009,2023-10-21,99439.0,1,포인트,0,5.0,0
C0191,P011,2023-03-29,146214.0,1,포인트,1,3.0,0
C0218,P015,2023-01-22,120053.0,1,카드,0,3.0,0
C0044,P024,2023-05-22,53355.0,4,간편결제,1,1.0,0
C0162,P038,2022-09-14,206139.0,2,포인트,0,1.0,0
C0202,P035,2023-07-24,239706.0,3,포인트,0,2.0,0
C0270,P030,2023-06-11,130426.0,3,포인트,1,1.0,1
C0271,P031,2022-06-11,69027.0,4,포인트,0,4.0,0
C0215,P049,2022-06-12,164210.0,3,현금,1,3.0,0
C0252,P005,2023-06-08,97601.0,1,간편결제,0,3.0,0
C0190,P044,2022-09-28,34956.0,2,카드,0,2.0,0
C0296,P050,2023-05-07,243340.0,3,카드,0,2.0,1
C0213,P014,2022-07-27,109797.0,2,현금,0,4.0,0
C0208,P011,2023-06-23,141511.0,1,간편결제,0,,1
C0237,P009,2023-08-07,83815.0,3,포인트,0,1.0,0
C0053,P034,2022-03-01,44279.0,4,현금,0,5.0,0
C0280,P012,2023-03-06,153702.0,2,간편결제,0,3.0,0
C0217,P035,2023-10-19,66063.0,1,포인트,1,3.0,0
C0252,P035,2023-08-28,254599.0,2,현금,1,3.0,0
C0188,P001,2022-11-05,259311.0,3,간편결제,1,1.0,0
C0041,P040,2023-06-04,132896.0,3,카드,0,1.0,0
C0157,P022,2023-08-14,171216.0,4,카드,0,4.0,0
C0015,P029,2022-01-27,227146.0,1,간편결제,1,3.0,1
C0065,P008,2023-11-17,213432.0,1,카드,0,5.0,0
C0009,P011,2023-07-16,187051.0,4,간편결제,0,3.0,0
C0129,P041,2022-07-18,102661.0,4,포인트,1,2.0,0
C0136,P037,2023-01-22,178672.0,1,간편결제,1,4.0,0
C0063,P014,2022-12-15,128257.0,2,포인트,0,2.0,1
C0139,P030,2023-11-24,274054.0,2,현금,0,3.0,0
C0081,P035,2023-06-20,39964.0,4,간편결제,1,4.0,0
C0163,P021,2023-01-13,284297.0,2,현금,0,5.0,0
C0289,P037,2023-07-12,235156.0,1,카드,1,4.0,0
C0261,P005,2023-06-11,113212.0,3,포인트,1,4.0,0
C0231,P019,2022-06-02,44071.0,3,간편결제,1,4.0,0
C0041,P014,2022-07-25,117990.0,2,현금,0,5.0,0
C0028,P026,2023-03-31,74519.0,4,포인트,0,2.0,0
C0135,P004,2022-09-30,14503.0,4,포인트,1,1.0,1
C0201,P025,2022-08-24,196775.0,4,카드,1,2.0,0
