연도,지역,전기(kWh),가스(m³),수도(m³),구분
2020,A,1200,300,500,사용량
2020,A,1000,250,450,요금
2020,B,1500,320,600,사용량
2020,B,1300,280,550,요금
2020,C,1700,340,650,사용량
2020,C,1500,290,600,요금
2021,A,1100,310,480,사용량
2021,A,900,260,430,요금
2021,B,1400,330,620,사용량
2021,B,1200,290,580,요금
2021,C,1600,350,670,사용량
2021,C,1400,310,620,요금
2022,A,1250,305,510,사용량
2022,A,1050,255,460,요금
2022,B,1550,325,610,사용량
2022,B,1350,285,560,요금
2022,C,1650,345,660,사용량
2022,C,1450,295,610,요금
2023,A,1300,315,520,사용량
2023,A,1100,265,470,요금
2023,B,1600,335,630,사용량
2023,B,1400,295,590,요금
2023,C,1700,355,680,사용량
2023,C,1500,305,630,요금
