ID,region,area,year_built,floor,num_parking,elevator,subway_distance,price
1651,Seoul,53.54,2016,26.0,,0,2.11,110501.85
2457,Busan,67.15,2010,24.0,1.02,1,0.93,124946.38
2233,Rural,63.57,1992,13.0,1.67,1,0.47,89478.0
1946,Busan,67.9,2021,20.0,1.71,1,0.84,121116.95
310,Seoul,122.56,2003,23.0,1.69,1,1.32,187526.11
2342,Seoul,81.95,1982,,1.83,1,1.13,149237.11
1667,Seoul,82.56,1980,1.0,1.13,1,0.36,140042.93
1682,Rural,97.01,1992,,1.19,1,0.76,137875.87
1188,Seoul,48.02,2023,17.0,,1,,100947.02
326,Daegu,110.47,2005,12.0,1.38,1,0.58,164029.49
1648,Daegu,101.9,2021,9.0,0.98,1,0.1,150797.76
2821,Rural,121.09,1996,6.0,0.73,1,0.41,170638.52
3176,Seoul,40.48,2021,29.0,0.91,1,0.76,107979.23
788,Busan,79.1,1983,,1.59,1,2.93,117750.21
558,Seoul,138.0,1996,2.0,1.72,1,0.36,217913.26
756,Daegu,90.61,2000,18.0,1.37,1,1.13,146638.25
943,Daegu,76.49,2016,17.0,1.55,1,2.82,115743.53
1460,Daegu,101.12,1985,8.0,1.18,1,2.33,143442.53
3335,Rural,51.42,2005,20.0,1.27,1,0.42,85905.1
2561,Daegu,107.1,2004,6.0,1.32,1,0.9,141513.75
185,Seoul,82.13,2021,9.0,0.93,1,1.96,141648.71
1972,Daegu,91.84,2016,17.0,0.62,1,0.23,135989.62
315,Daegu,99.38,1989,24.0,1.05,1,0.83,133836.7
1502,Busan,72.71,2005,27.0,1.94,1,1.09,129779.61
1095,Seoul,45.11,2015,11.0,0.57,1,3.3,90697.83
1337,Seoul,76.7,2002,27.0,0.88,1,0.78,150339.97
694,Seoul,,1995,19.0,0.85,1,1.37,219257.56
347,Busan,91.27,1980,,0.74,1,0.25,145615.4
1615,Seoul,30.0,1989,13.0,1.76,1,0.46,82129.86
3490,Busan,71.05,1997,5.0,0.88,1,1.3,107028.27
3188,Seoul,42.63,2007,26.0,,1,1.04,90944.62
1922,Seoul,62.51,2005,11.0,1.64,1,8.0,105743.17
2351,Busan,79.0,2001,,0.84,0,0.1,124481.95
890,Seoul,93.77,2001,8.0,1.84,1,0.1,153321.42
3298,Seoul,94.95,2017,7.0,1.56,0,0.81,155908.61
3078,Seoul,65.22,2020,20.0,0.59,1,2.4,127184.9
171,Daegu,57.77,2002,6.0,1.28,1,0.98,89695.81
180,Seoul,68.34,2001,4.0,0.64,1,1.39,124381.93
613,Busan,37.93,1997,14.0,0.87,0,5.43,54609.74
2241,Daegu,35.11,1989,20.0,0.96,1,0.28,73567.34
1552,Busan,89.59,2011,3.0,1.33,1,0.64,149407.86
3064,Busan,38.14,1980,1.0,1.68,0,2.01,57379.69
840,Busan,62.02,1983,13.0,1.7,1,2.01,107907.6
2091,Daegu,93.28,1988,26.0,1.38,1,0.66,125568.08
2072,Busan,95.49,2002,15.0,0.73,1,0.15,149112.87
27,Seoul,68.6,1984,15.0,0.8,1,0.7,126748.68
1923,Busan,54.07,2007,29.0,1.66,1,0.28,93170.35
1860,Daegu,123.16,2001,6.0,1.25,1,0.24,174383.08
681,Daegu,83.52,2008,2.0,,1,1.23,126074.87
33,Seoul,79.21,2005,9.0,0.59,0,5.01,122171.31
71,Daegu,119.07,1982,18.0,1.67,1,1.49,177891.37
323,Daegu,75.35,1996,28.0,0.96,0,0.44,114746.88
2788,Seoul,113.2,1998,18.0,1.08,1,1.89,189355.59
3258,Seoul,104.1,2000,8.0,1.91,1,0.67,184505.7
1072,Seoul,44.43,1990,15.0,,1,0.26,107096.98
52,Daegu,71.97,2011,27.0,1.44,1,1.13,125968.91
1421,Seoul,58.84,2010,21.0,1.25,0,0.96,113531.11
431,Seoul,137.04,1988,18.0,,0,0.1,218343.41
2485,Busan,65.0,1994,26.0,1.3,1,0.36,118500.95
1718,Daegu,106.35,2014,14.0,1.52,1,0.72,154343.09
3110,Busan,85.21,1980,17.0,1.66,0,4.86,122298.91
1081,Daegu,104.47,1986,19.0,0.68,1,1.65,144373.1
555,Rural,78.65,2017,15.0,1.36,1,8.0,91393.86
145,Seoul,69.6,1998,12.0,0.85,1,2.01,133026.71
1823,Busan,,2015,6.0,1.04,1,,116287.36
3124,Busan,121.81,2006,4.0,1.61,1,0.51,163590.34
197,Daegu,108.39,1989,16.0,0.91,1,0.16,141454.84
1678,Busan,92.5,2016,23.0,1.27,1,0.56,159529.33
791,Seoul,88.67,1991,27.0,1.47,1,2.23,139064.74
2776,Busan,71.16,2013,3.0,1.46,1,0.43,128398.21
