고객ID,연도,월,카테고리,구매건수,구매금액
CUST001,2022,1,식품,3,42724.48811864592
CUST001,2022,2,가전,1,42033.99937278969
CUST001,2022,3,도서,2,55320.327029714084
CUST001,2022,4,가구,1,47724.10663514435
CUST001,2022,5,의류,3,92815.26449713622
CUST001,2022,6,가구,1,59507.38077227196
CUST001,2022,7,도서,1,53690.373811278856
CUST001,2022,8,의류,1,68741.64402217904
CUST001,2022,9,가구,2,
CUST001,2022,10,도서,1,26252.263621395432
CUST001,2022,11,가전,3,17728.429943556483
CUST001,2022,12,도서,4,79414.27733224258
CUST001,2023,1,가전,2,37966.84636754346
CUST001,2023,2,의류,1,86759.55033616716
CUST001,2023,3,식품,1,47422.27923246653
CUST001,2023,4,식품,2,44341.56734887337
CUST001,2023,5,도서,2,
CUST001,2023,6,가구,5,
CUST001,2023,7,식품,0,
CUST001,2023,8,의류,2,80503.60375619926
CUST001,2023,9,가전,2,46299.71778205772
CUST001,2023,10,의류,3,256.96929554460803
CUST001,2023,11,의류,1,44057.83426247273
CUST001,2023,12,도서,4,78651.20355090656
CUST002,2022,1,식품,2,32415.4943508409
CUST002,2022,2,식품,2,55307.399627357285
CUST002,2022,3,가구,1,45225.74261370641
CUST002,2022,4,도서,2,21418.66203103418
CUST002,2022,5,가전,3,48702.78275369616
CUST002,2022,6,도서,1,69688.49404075759
CUST002,2022,7,의류,2,65592.52607327391
CUST002,2022,8,가구,1,41237.581673023145
CUST002,2022,9,도서,6,18907.29209582852
CUST002,2022,10,식품,0,14703.527735368727
CUST002,2022,11,의류,2,62644.23266088292
CUST002,2022,12,가구,4,49787.36944509291
CUST002,2023,1,의류,1,
CUST002,2023,2,가전,5,70221.68880654027
CUST002,2023,3,도서,2,44240.85128435563
CUST002,2023,4,가구,0,41721.21928180936
CUST002,2023,5,식품,1,71240.50614829455
CUST002,2023,6,도서,4,48404.358282424815
CUST002,2023,7,식품,3,-7277.970933106852
CUST002,2023,8,의류,3,48561.358032777534
CUST002,2023,9,가전,1,35881.22002076344
CUST002,2023,10,가전,3,65154.994507279654
CUST002,2023,11,의류,0,59611.40669850886
CUST002,2023,12,의류,4,
CUST003,2022,1,도서,4,
CUST003,2022,2,가전,1,18330.60074567738
CUST003,2022,3,가구,1,38097.72321686597
CUST003,2022,4,가구,1,30343.76210435388
CUST003,2022,5,가구,2,46719.49194647887
CUST003,2022,6,식품,0,
CUST003,2022,7,의류,1,
CUST003,2022,8,가전,2,40025.59102083331
CUST003,2022,9,도서,1,54747.07629994097
CUST003,2022,10,식품,3,
CUST003,2022,11,도서,5,61659.962296688085
CUST003,2022,12,가전,4,40084.84532923382
CUST003,2023,1,의류,4,44296.38259754597
CUST003,2023,2,의류,1,59608.22822543042
CUST003,2023,3,가전,3,16171.675120049455
CUST003,2023,4,가구,2,53772.97978226679
CUST003,2023,5,도서,1,26063.586966341325
CUST003,2023,6,식품,1,33627.14081632944
CUST003,2023,7,도서,0,44853.53382442756
CUST003,2023,8,가전,2,25915.35441463424
CUST003,2023,9,가전,5,70315.17848196566
CUST003,2023,10,도서,2,51147.966217817055
CUST003,2023,11,가전,5,48284.60772799166
CUST003,2023,12,가구,1,17020.72992137656
CUST004,2022,1,가전,0,3951.4704139619716
CUST004,2022,2,가구,0,30124.187681446874
CUST004,2022,3,의류,2,31806.603573311986
CUST004,2022,4,가구,2,33703.278751046026
CUST004,2022,5,식품,0,50200.742788167954
CUST004,2022,6,가구,1,59605.76764570544
CUST004,2022,7,도서,4,
CUST004,2022,8,가전,3,
CUST004,2022,9,의류,2,58229.80113880565
CUST004,2022,10,도서,2,61480.28996131466
CUST004,2022,11,가구,4,83421.89282744651
CUST004,2022,12,의류,2,
CUST004,2023,1,의류,1,
CUST004,2023,2,식품,0,32400.44279137256
CUST004,2023,3,도서,6,
CUST004,2023,4,의류,1,52339.404847249345
CUST004,2023,5,도서,1,79757.88864267274
CUST004,2023,6,의류,0,42843.66295296129
CUST004,2023,7,도서,2,26144.572339416613
CUST004,2023,8,도서,1,77497.1883507978
CUST004,2023,9,도서,3,81974.62793052965
CUST004,2023,10,가전,2,43760.19203454978
CUST004,2023,11,의류,2,28750.798547886803
CUST004,2023,12,가구,0,27800.78892784369
CUST005,2022,1,도서,3,
CUST005,2022,2,의류,4,48063.756648949864
CUST005,2022,3,의류,2,47844.476120736756
CUST005,2022,4,도서,0,60458.34726301967
CUST005,2022,5,도서,1,57056.13165686254
CUST005,2022,6,의류,2,50980.74923096034
CUST005,2022,7,가전,4,38677.10822580382
CUST005,2022,8,식품,1,75601.59026195634
CUST005,2022,9,의류,5,45268.35294280491
CUST005,2022,10,가전,2,69582.82672092484
CUST005,2022,11,도서,3,4561.89002764663
CUST005,2022,12,식품,2,65152.099753050665
CUST005,2023,1,가구,4,54520.6811824138
CUST005,2023,2,가구,2,52506.44495993608
CUST005,2023,3,의류,0,68965.85146379168
CUST005,2023,4,식품,2,41547.22598885338
CUST005,2023,5,식품,2,39534.75132732852
CUST005,2023,6,의류,6,76598.15678556781
CUST005,2023,7,식품,1,49687.4607475317
CUST005,2023,8,의류,2,57276.32026064482
CUST005,2023,9,도서,4,
CUST005,2023,10,도서,2,74786.75231643766
CUST005,2023,11,도서,1,67321.1834564361
CUST005,2023,12,가구,0,65825.8996080031
CUST006,2022,1,의류,5,33459.38193727899
CUST006,2022,2,식품,2,
CUST006,2022,3,가구,1,82467.55176453586
CUST006,2022,4,도서,0,
CUST006,2022,5,가전,1,38794.84789154421
CUST006,2022,6,가전,2,57103.759585441425
CUST006,2022,7,도서,6,94797.56462219753
CUST006,2022,8,가전,1,38743.41800807175
CUST006,2022,9,식품,2,11109.194354090389
CUST006,2022,10,의류,0,55278.62447300884
CUST006,2022,11,식품,1,89899.66748105074
CUST006,2022,12,가전,6,72199.1449804102
CUST006,2023,1,가전,1,63972.61540598019
CUST006,2023,2,가전,5,
CUST006,2023,3,가구,3,60811.66389091934
CUST006,2023,4,가구,1,38665.76379135158
CUST006,2023,5,식품,1,69273.93729797461
CUST006,2023,6,도서,3,60366.87030311794
CUST006,2023,7,가전,3,38200.61776761838
CUST006,2023,8,가전,2,86412.3959954074
CUST006,2023,9,의류,1,33948.76015155573
CUST006,2023,10,식품,2,77193.9769890315
