연도,월,고객ID,카테고리,성별,나이,주문금액,구매수량,리뷰점수,반품여부
2022,8,CUST0092,Toys,M,37,62287.0,6,4.850785136859559,0
2021,5,CUST0171,Books,M,32,81535.0,3,3.3468500169678412,0
2022,8,CUST0004,Toys,M,37,99782.0,3,3.438796004057953,0
2020,7,CUST0201,Toys,M,23,87709.0,2,3.7516264814906,0
2020,12,CUST0276,Books,F,53,50636.0,0,4.3045938568943285,0
2020,11,CUST0127,Home,M,22,107365.0,4,3.3901198441225118,0
2022,12,CUST0143,Toys,F,64,105171.0,3,3.923373435368499,0
2021,2,CUST0026,Books,M,59,58758.0,6,3.842944167374329,0
2021,12,CUST0231,Books,M,32,105671.0,4,4.958641852646887,0
2022,5,CUST0283,Books,F,63,110153.0,6,4.659258945881183,0
2020,11,CUST0013,Home,F,38,85254.0,0,4.309363783937625,0
2020,11,CUST0292,Electronics,F,35,139944.0,0,5.0,0
2023,4,CUST0145,Books,M,33,141806.0,6,3.108866744139595,0
2023,12,CUST0252,Books,F,58,1000.0,8,3.6906604016064084,0
2022,12,CUST0233,Toys,M,24,143409.0,2,3.998695036787532,0
2023,5,CUST0222,Toys,F,33,71523.0,3,3.7062690905583535,0
2020,1,CUST0050,Toys,M,50,101953.0,5,4.645043066406295,0
2021,9,CUST0231,Toys,M,43,76004.0,1,,0
2020,7,CUST0223,Clothing,F,44,97995.0,5,4.4745399652425855,0
2020,2,CUST0276,Toys,F,23,134673.0,1,3.359933989143625,0
2020,4,CUST0223,Clothing,M,23,18680.0,3,3.1562712609797394,0
2023,12,CUST0167,Toys,M,29,97816.0,2,3.9736008148405846,0
2020,5,CUST0266,Home,M,21,82739.0,5,4.618492114693576,0
2022,3,CUST0170,Clothing,M,48,124583.0,4,5.0,0
2021,5,CUST0143,Toys,M,31,99105.0,0,5.0,0
2023,10,CUST0242,Toys,M,69,105399.0,2,5.0,0
2023,8,CUST0078,Clothing,F,31,65334.0,2,2.9403239623567594,0
2021,6,CUST0125,Toys,M,61,64658.0,3,4.87990459156342,0
2021,5,CUST0015,Books,F,19,82571.0,2,5.0,0
2023,10,CUST0163,Toys,M,54,106793.0,6,3.497661962796731,0
2021,11,CUST0259,Toys,F,44,55770.0,3,3.0036031031411037,0
2022,2,CUST0141,Home,F,62,95387.0,2,4.817424693155962,0
2020,12,CUST0288,Clothing,F,62,111421.0,3,3.896720278200318,0
2020,1,CUST0197,Home,M,54,129053.0,5,2.461771932184268,0
2020,4,CUST0295,Books,F,22,136972.0,2,3.123273502680266,0
2020,5,CUST0165,Electronics,F,34,147172.0,3,4.712694323320103,0
2022,10,CUST0154,Electronics,F,51,,4,3.0272991561871185,0
2023,11,CUST0085,Electronics,M,69,114956.0,0,3.8536591807597134,1
2020,12,CUST0264,Electronics,M,46,28027.0,3,5.0,1
2023,1,CUST0270,Electronics,F,66,159470.0,3,4.085300096013546,0
2020,9,CUST0236,Electronics,M,27,109903.0,2,5.0,0
2022,7,CUST0179,Books,M,66,165780.0,2,2.8538985511366928,1
2021,1,CUST0155,Toys,F,33,160837.0,5,3.790692785680535,0
