연도,월,고객ID,지역,음식카테고리,나이,배달시간,주문금액,주문수량,평점,불만제기여부
2023,6,CUST0207,서울,한식,28,40.8,23214.0,1,4.189386839873903,0
2022,12,CUST0382,서울,분식,49,25.8,12998.0,1,4.851446882200096,0
2021,4,CUST0363,대구,중식,43,12.3,36229.0,1,4.062704321506597,0
2021,8,CUST0129,서울,패스트푸드,60,30.9,10280.0,5,3.2941948772769782,0
2021,7,CUST0036,서울,분식,24,,14049.0,1,4.382038102233676,0
2022,6,CUST0434,대구,중식,39,52.7,3912.0,1,4.080154666523588,0
2022,2,CUST0264,서울,분식,30,16.0,17484.0,4,3.6055077704390412,0
2022,1,CUST0337,인천,분식,44,,17404.0,3,4.990111238581791,0
2023,10,CUST0087,부산,중식,64,17.7,24112.0,1,4.305135006200537,0
2023,5,CUST0116,인천,일식,52,29.2,10831.0,2,3.088005380031101,0
2023,4,CUST0069,서울,패스트푸드,63,,28102.0,1,4.610072105351467,0
2021,10,CUST0493,부산,한식,64,39.4,14503.0,3,4.692150334004616,0
2021,4,CUST0339,부산,분식,29,40.9,24971.0,5,4.651621071713734,0
2023,4,CUST0285,인천,한식,64,24.8,20522.0,4,,0
2023,5,CUST0018,부산,한식,52,33.1,4045.0,1,5.0,0
2023,12,CUST0204,부산,한식,39,43.0,3144.0,1,4.639118458401607,0
2021,1,CUST0399,인천,한식,50,35.5,26980.0,0,4.926347653147644,0
2021,7,CUST0407,부산,일식,20,24.2,19445.0,1,2.91653544961722,0
2021,12,CUST0343,경기,분식,61,29.0,18859.0,2,3.6189295192869073,0
2022,9,CUST0439,부산,분식,55,29.7,15951.0,3,4.612331510314255,0
2021,3,CUST0199,부산,한식,59,33.0,18889.0,3,4.9144151435620635,0
2022,12,CUST0093,대구,양식,25,36.0,36156.0,2,4.178244188408206,0
2023,1,CUST0372,서울,패스트푸드,33,22.1,21299.0,4,4.440293198770738,0
2023,8,CUST0497,경기,패스트푸드,64,28.6,14817.0,4,4.660067014251291,0
2023,7,CUST0118,경기,패스트푸드,18,29.2,16311.0,1,4.695324217546602,0
2021,9,CUST0459,서울,한식,37,19.4,22805.0,2,4.0797825115065445,0
2021,8,CUST0404,대구,한식,30,26.3,10306.0,0,4.080595938072945,0
2022,5,CUST0077,대구,중식,42,36.1,28844.0,3,3.711071846158581,0
2023,2,CUST0173,경기,양식,54,22.4,24628.0,1,4.099968387330744,0
2023,3,CUST0032,대구,분식,68,17.8,26827.0,5,4.3359437731670925,0
2023,8,CUST0291,경기,분식,68,42.2,34813.0,0,3.557387292853112,0
2021,1,CUST0179,대구,한식,37,33.7,20622.0,2,3.621224432380731,0
2022,3,CUST0256,인천,한식,42,41.2,11290.0,3,3.6041851110759673,0
2021,8,CUST0344,인천,일식,36,,15517.0,1,3.4579944463272794,0
2023,8,CUST0282,경기,일식,39,17.5,25681.0,3,3.9724544638850956,0
