직원ID,부서,연봉,근속연수,성과등급,교육참여횟수,업무만족도
EMP1000,Sales,8131,7.0,C,2,
EMP1001,Finance,7642,10.0,C,4,2.96
EMP1002,Marketing,3132,7.0,B,1,3.42
EMP1003,HR,7470,23.0,B,2,3.95
EMP1004,Marketing,7165,0.0,B,2,4.21
EMP1005,Finance,6331,12.0,C,4,3.68
EMP1006,IT,4705,9.0,B,6,3.76
EMP1007,HR,7085,13.0,B,4,
EMP1008,Marketing,5499,11.0,A,3,4.54
EMP1009,IT,9108,28.0,A,3,4.31
EMP1010,Marketing,6040,27.0,A,5,
EMP1011,Marketing,3920,19.0,C,2,3.45
EMP1012,Marketing,7911,13.0,B,1,4.43
EMP1013,Finance,5217,16.0,C,3,3.47
EMP1014,HR,6203,19.0,B,2,
EMP1015,IT,6825,22.0,C,4,3.22
EMP1016,Marketing,4914,20.0,C,2,4.32
EMP1017,Finance,5109,19.0,C,3,4.68
EMP1018,IT,4902,17.0,C,2,4.24
EMP1019,Finance,8859,21.0,B,2,4.16
EMP1020,Sales,3043,,A,3,3.68
EMP1021,IT,8905,3.0,B,4,4.22
EMP1022,Finance,7074,22.0,A,6,4.07
EMP1023,IT,5771,25.0,B,2,3.21
EMP1024,Sales,8898,10.0,B,1,2.22
EMP1025,HR,5458,23.0,B,3,4.61
EMP1026,Marketing,8535,21.0,B,4,3.9
EMP1027,Marketing,5068,22.0,A,7,
EMP1028,Marketing,4507,23.0,B,4,2.91
EMP1029,Sales,8250,12.0,C,3,3.84
EMP1030,IT,9777,23.0,C,3,3.41
EMP1031,Marketing,9674,27.0,C,1,5.0
EMP1032,HR,5409,17.0,C,6,3.46
EMP1033,Sales,3034,20.0,B,2,4.91
EMP1034,Marketing,9278,10.0,B,2,4.72
EMP1035,Finance,9039,23.0,C,6,4.71
EMP1036,IT,9615,17.0,B,6,4.42
EMP1037,Marketing,8067,22.0,B,4,3.98
EMP1038,HR,9686,8.0,A,6,4.83
EMP1039,HR,6982,28.0,C,5,3.98
EMP1040,HR,6775,10.0,B,3,4.36
EMP1041,Finance,5208,9.0,B,5,3.85
EMP1042,HR,5244,20.0,A,2,4.07
EMP1043,Sales,6646,11.0,C,2,3.29
EMP1044,Finance,3588,22.0,C,2,3.11
EMP1045,Finance,9034,16.0,B,7,3.94
EMP1046,Finance,6751,5.0,C,4,3.01
EMP1047,IT,6637,30.0,C,3,4.07
EMP1048,Marketing,9991,23.0,B,0,3.79
EMP1049,IT,8854,11.0,B,6,3.59
EMP1050,Sales,9258,17.0,C,2,5.0
EMP1051,Sales,8147,26.0,B,9,4.18
EMP1052,Finance,9721,8.0,B,4,3.7
EMP1053,HR,6316,23.0,C,2,4.06
EMP1054,Marketing,8065,2.0,A,6,3.71
EMP1055,Sales,7990,11.0,B,7,2.9
EMP1056,IT,9038,26.0,A,1,3.56
EMP1057,Marketing,7742,9.0,C,2,4.59
EMP1058,IT,6834,1.0,C,3,3.84
EMP1059,Finance,5111,6.0,C,4,4.19
EMP1060,HR,8156,,B,1,3.24
EMP1061,IT,4143,28.0,B,2,3.55
EMP1062,IT,3962,,B,0,3.82
EMP1063,IT,3138,22.0,B,3,2.19
EMP1064,HR,4136,17.0,A,2,
EMP1065,Marketing,9672,12.0,B,3,3.32
EMP1066,IT,6069,8.0,A,2,4.37
EMP1067,HR,9719,5.0,B,4,4.6
EMP1068,Marketing,4230,24.0,B,1,3.25
EMP1069,HR,5431,24.0,A,4,4.26
EMP1070,Finance,3205,13.0,C,2,3.39
EMP1071,Marketing,3864,11.0,B,4,3.7
EMP1072,Finance,8641,15.0,A,3,4.21
EMP1073,Finance,7306,17.0,C,3,4.08
EMP1074,IT,4432,8.0,B,4,5.0
EMP1075,IT,9256,19.0,C,5,5.0
EMP1076,IT,8571,3.0,A,4,3.98
EMP1077,Sales,3733,3.0,B,3,5.0
EMP1078,Finance,4519,9.0,B,2,3.21
EMP1079,Finance,4344,18.0,B,5,3.91
EMP1080,Sales,5732,8.0,A,2,4.19
EMP1081,IT,8946,0.0,C,3,3.42
EMP1082,Marketing,3404,21.0,A,4,2.92
EMP1083,HR,6873,13.0,A,1,3.09
EMP1084,HR,7557,16.0,C,1,3.97
EMP1085,IT,7678,1.0,B,2,3.86
EMP1086,HR,8892,12.0,B,4,3.93
EMP1087,IT,9580,20.0,B,5,3.24
EMP1088,Marketing,7131,12.0,C,5,3.75
EMP1089,Finance,7550,4.0,C,2,2.87
EMP1090,Sales,9793,13.0,C,2,3.0
EMP1091,Marketing,5213,8.0,B,0,3.28
EMP1092,Finance,3742,7.0,B,4,3.13
