연도,상품,평점,가격,리뷰길이,반품여부
2021,에어컨,2,2619997,337,0
2023,냉장고,1,2903696,261,0
2023,청소기,4,2521212,161,0
2020,냉장고,3,2193373,20,0
2021,냉장고,2,1746836,76,0
2020,스마트폰,1,1341835,240,0
2022,청소기,5,2472280,30,0
2022,청소기,4,2806871,223,0
2020,청소기,2,970123,114,0
2023,냉장고,2,1959582,207,0
2023,에어컨,3,2069510,205,0
2020,청소기,3,350195,209,0
2020,냉장고,5,1292324,168,0
2022,스마트폰,5,2229885,165,0
2023,에어컨,1,1889616,142,0
2020,스마트폰,1,626338,238,0
2022,에어컨,5,2307148,264,1
2023,냉장고,5,658221,102,0
2021,노트북,4,649239,195,0
2022,에어컨,3,656701,215,0
2023,스마트폰,1,1314449,214,0
2023,냉장고,3,1859555,213,0
2022,에어컨,3,999005,167,0
2021,노트북,5,1136580,222,0
2022,노트북,4,533816,249,0
2023,청소기,2,1370464,211,0
2020,청소기,4,885332,240,0
2020,스마트폰,4,1894029,279,0
2022,에어컨,3,867950,51,0
2023,에어컨,4,266472,275,1
2020,청소기,1,497710,227,0
2023,에어컨,3,2408912,111,0
2022,에어컨,1,222744,264,0
2020,노트북,2,1878627,168,0
2023,청소기,3,2163499,179,0
2020,냉장고,2,1650522,159,0
2022,청소기,3,691652,224,0
2023,냉장고,5,1011420,137,0
2020,노트북,4,931460,272,0
2022,스마트폰,5,2435658,188,0
2020,에어컨,2,2950171,170,0
2020,노트북,4,2627941,260,0
2021,에어컨,3,1010775,174,0
2021,스마트폰,4,1860574,275,0
2022,스마트폰,1,1801165,278,0
2021,노트북,4,1012727,93,0
2022,스마트폰,1,2696874,288,0
2021,냉장고,4,1833693,83,0
2020,스마트폰,1,658924,293,0
2022,에어컨,2,279352,362,0
2022,에어컨,5,910694,269,0
2020,에어컨,3,2390435,27,0
2022,에어컨,4,1072346,285,0
2022,냉장고,5,1015015,379,0
2021,청소기,3,1598771,175,0
2022,노트북,3,1098974,197,0
2023,에어컨,1,531413,104,0
2020,스마트폰,2,1452564,224,0
2021,에어컨,2,2524050,301,0
2021,스마트폰,5,1051661,255,0
2023,스마트폰,2,963561,451,0
2020,에어컨,4,402186,202,0
2020,냉장고,2,1395160,69,0
2021,스마트폰,5,2673224,213,0
2022,스마트폰,2,1126553,20,0
2021,에어컨,4,1335202,157,0
2020,스마트폰,1,245271,329,0
2023,스마트폰,5,2315685,226,0
2021,에어컨,1,1068452,214,0
2020,에어컨,1,1614542,345,0
2021,노트북,1,2263414,178,1
2022,냉장고,3,176898,300,0
2021,냉장고,3,2652851,210,0
2021,스마트폰,1,2751888,230,0
2020,냉장고,5,388316,102,0
2020,스마트폰,4,2108954,161,1
2020,노트북,4,2674754,88,0
2021,에어컨,2,1929553,192,0
2022,에어컨,5,1139504,231,0
2023,에어컨,3,2572151,111,0
2023,냉장고,1,1832767,363,1
2020,노트북,2,2205058,222,1
2020,냉장고,4,893719,204,0
2021,냉장고,3,815080,261,0
2023,노트북,3,1775843,133,0
2020,노트북,1,134701,213,0
2022,노트북,4,2962689,142,0
2022,노트북,5,1821610,324,0
2020,에어컨,3,2280712,115,0
2020,청소기,1,2439767,205,0
2023,청소기,5,2240794,226,1
2023,노트북,4,2714235,231,0
2021,청소기,3,591036,153,0
2023,청소기,5,427304,128,1
2022,노트북,5,1952610,154,0
2022,청소기,5,2562616,242,0
2020,냉장고,3,2810241,188,1
2023,스마트폰,3,1242953,263,1
2021,스마트폰,2,426916,238,0
2022,노트북,4,412250,20,0
2022,에어컨,1,705409,219,0
2021,노트북,5,1174135,380,0
2021,에어컨,2,2755182,306,0
2022,스마트폰,1,956101,233,0
2022,노트북,2,1825690,115,0
2021,냉장고,3,1714737,238,0
2022,청소기,5,992964,259,0
2020,에어컨,1,2061275,179,0
2020,청소기,1,503119,225,0
2021,청소기,1,2855532,320,1
2023,노트북,1,1235564,131,0
2021,청소기,1,2767088,115,0
2021,냉장고,2,225991,255,0
2023,청소기,5,502732,236,0
2023,노트북,3,606079,282,0
