ID,brand,fuel_type,engine_size,weight,horsepower,cylinders,model_year,mpg
556,Hyundai,Electric,0.0,1069.5,90,4,2014,66.83
3492,BMW,Diesel,0.0,1445.2,138,4,2022,44.06
528,Ford,Hybrid,0.0,0.0,164,3,2006,42.55
3926,Kia,Diesel,3.63,1567.9,166,4,2020,39.07
2990,Kia,Hybrid,2.04,0.0,104,6,2019,57.23
71,Tesla,Diesel,1.82,1382.7,98,4,2019,46.12
1757,Kia,Gasoline,1.5,1337.0,81,8,2017,46.33
212,Toyota,Gasoline,1.66,811.0,83,6,2014,47.65
197,Hyundai,Gasoline,2.29,1278.4,114,6,2016,45.91
804,Hyundai,Electric,2.0,0.0,96,4,2015,65.47
3410,Kia,Diesel,1.94,1851.6,106,4,2023,45.79
3837,Tesla,Gasoline,0.0,0.0,74,4,2007,45.05
1147,Kia,Diesel,1.38,1357.3,80,4,2013,48.17
1499,BMW,Diesel,1.97,1353.7,80,4,2006,42.56
3859,Toyota,Hybrid,0.0,0.0,141,4,2019,53.79
3483,Ford,Electric,0.0,1257.8,101,4,2021,68.28
1186,Tesla,Diesel,0.0,1921.7,155,4,2017,38.74
472,Kia,Hybrid,0.0,1521.5,91,4,2015,55.82
595,Ford,Gasoline,2.46,0.0,101,3,2023,43.69
322,Toyota,Gasoline,0.0,1086.1,93,4,2016,46.66
1418,Tesla,Hybrid,0.0,1773.8,45,4,2005,59.62
1675,Toyota,Gasoline,0.0,1250.8,124,4,2005,42.16
3591,Tesla,Electric,0.0,1431.6,86,6,2011,64.84
1704,Hyundai,Diesel,0.0,1738.6,84,4,2014,42.45
2541,Tesla,Hybrid,2.85,0.0,140,4,2011,52.61
206,Hyundai,Hybrid,0.0,1471.9,135,4,2011,53.44
3888,Hyundai,Gasoline,3.24,1631.8,170,4,2012,35.12
3249,Ford,Diesel,1.82,2277.8,115,6,2010,44.01
2132,Tesla,Gasoline,1.11,0.0,43,8,2022,50.65
1256,BMW,Gasoline,0.0,0.0,63,6,2012,50.51
2300,BMW,Gasoline,0.0,0.0,67,4,2021,46.78
1227,Toyota,Diesel,2.17,1092.7,104,6,2018,44.16
3919,Ford,Electric,0.0,0.0,108,6,2018,64.56
2465,Toyota,Gasoline,1.21,1276.4,53,4,2015,49.78
2384,Kia,Electric,2.01,0.0,90,6,2021,64.82
150,Tesla,Hybrid,1.38,1555.0,57,6,2019,59.73
870,Toyota,Gasoline,2.32,1050.9,108,3,2017,45.2
1979,BMW,Hybrid,1.85,0.0,103,4,2018,54.38
2457,Ford,Gasoline,1.61,1079.9,83,6,2008,47.58
3866,BMW,Hybrid,1.73,0.0,89,3,2013,55.07
2213,Hyundai,Gasoline,1.49,1029.5,76,4,2012,47.44
1007,BMW,Gasoline,0.0,2015.5,121,6,2012,41.01
3048,Hyundai,Gasoline,1.92,0.0,92,8,2009,45.39
706,Kia,Gasoline,0.0,1332.7,57,6,2010,50.93
3144,Hyundai,Gasoline,2.5,1084.0,121,3,2006,41.5
3597,Kia,Diesel,0.0,0.0,138,4,2023,42.01
1988,Ford,Diesel,0.0,1680.7,43,4,2015,50.54
180,Toyota,Electric,1.53,1589.3,83,4,2019,68.02
110,BMW,Gasoline,0.8,0.0,48,4,2011,50.44
3079,Kia,Gasoline,0.0,825.7,155,4,2014,39.65
1056,BMW,Electric,2.2,1278.1,124,4,2013,66.6
3953,Tesla,Hybrid,0.0,0.0,73,4,2011,57.76
315,Toyota,Diesel,0.0,1059.5,106,4,2014,44.13
1823,Hyundai,Gasoline,0.0,1563.6,100,4,2015,45.11
568,Ford,Gasoline,2.23,1551.2,104,6,2007,44.33
880,Kia,Gasoline,1.46,1224.1,79,6,2020,49.22
2231,Ford,Gasoline,1.32,1625.8,53,4,2007,48.46
1412,Toyota,Hybrid,1.92,0.0,99,8,2010,53.08
3225,Ford,Gasoline,0.8,1620.6,45,4,2018,54.34
3937,Hyundai,Gasoline,0.0,1551.2,85,6,2022,46.71
3250,Toyota,Hybrid,0.0,0.0,29,4,2015,61.28
930,Toyota,Gasoline,0.0,0.0,157,3,2012,37.31
2579,Toyota,Gasoline,0.0,0.0,139,4,2021,44.61
3380,Ford,Gasoline,0.0,0.0,155,4,2016,39.95
2293,Kia,Gasoline,0.0,1743.2,144,4,2018,40.42
1503,Ford,Hybrid,0.0,1353.5,102,8,2015,55.88
3783,Hyundai,Gasoline,1.75,1334.6,82,6,2015,46.07
606,BMW,Diesel,0.0,1668.9,130,4,2015,44.51
1989,Hyundai,Diesel,0.0,0.0,168,6,2018,41.82
15,Hyundai,Gasoline,1.43,0.0,76,4,2016,49.73
1262,Toyota,Electric,3.19,0.0,175,6,2016,60.92
3239,Tesla,Diesel,1.46,931.3,80,4,2006,44.36
