학력수준,직무만족도,주당근무시간,재택근무여부,이직경험여부
고졸,4.7,44.9,0,0
대학원졸,3.7,43.1,1,0
고졸,3.9,42.5,0,0
대졸,2.9,31.3,0,0
고졸,2.9,43.0,0,0
대졸,3.6,51.8,0,0
고졸,5.0,39.7,0,0
대학원졸,3.3,42.2,0,0
고졸,2.8,44.1,0,0
고졸,3.5,50.1,0,0
대졸,2.5,45.8,0,0
고졸,3.4,42.8,0,1
대졸,3.4,37.9,0,0
대졸,3.6,44.0,1,0
대학원졸,3.4,35.9,0,0
고졸,3.9,35.8,0,0
대졸,3.2,41.6,0,0
대졸,2.5,45.4,0,0
대학원졸,3.4,43.0,0,0
대학원졸,3.5,42.5,0,0
대학원졸,2.7,37.0,1,0
대졸,3.2,43.6,0,0
대학원졸,1.2,46.9,1,0
대학원졸,2.5,41.7,0,0
대졸,2.7,30.4,1,0
대학원졸,4.0,33.9,0,1
고졸,3.6,38.3,0,0
대학원졸,1.9,46.3,1,1
대졸,2.7,49.8,0,0
대졸,2.7,36.5,0,0
대학원졸,2.8,45.4,0,0
대학원졸,4.3,52.1,1,0
대졸,4.1,33.6,0,0
대학원졸,3.7,42.6,0,0
대졸,1.8,39.8,0,0
대졸,4.2,50.5,1,1
고졸,3.3,33.3,0,0
대학원졸,4.5,54.5,0,0
고졸,4.5,40.6,1,0
고졸,2.7,33.2,0,0
대학원졸,3.3,47.4,0,0
고졸,2.7,40.6,0,0
대학원졸,3.1,32.8,0,0
고졸,2.8,50.6,1,0
대졸,4.3,45.4,1,0
대졸,2.6,40.8,0,0
고졸,4.3,40.2,0,0
대학원졸,2.4,37.3,0,0
고졸,3.2,37.7,0,0
대졸,4.7,43.3,0,0
고졸,4.0,40.1,0,0
대학원졸,3.2,46.6,0,0
대졸,3.1,41.1,1,0
대학원졸,3.7,38.3,0,0
대졸,3.8,34.4,0,0
대졸,3.1,44.4,1,0
고졸,4.6,44.4,0,0
대학원졸,4.0,39.7,0,0
고졸,3.3,43.6,0,0
고졸,3.7,46.7,1,0
고졸,2.1,48.0,0,0
대졸,2.9,51.9,0,0
고졸,3.1,42.6,0,1
대학원졸,2.5,50.4,0,1
고졸,4.5,41.2,0,0
대졸,3.6,42.7,0,0
대학원졸,3.1,40.5,0,0
고졸,3.5,36.4,0,0
대학원졸,3.7,43.1,0,1
대졸,3.0,50.0,0,1
대졸,2.8,32.8,1,0
대학원졸,3.5,35.3,0,0
고졸,3.6,51.8,0,0
대졸,3.2,48.0,0,0
고졸,3.7,33.4,0,0
