부서,직급,근속연수,주당근무시간,업무성과점수
영업,차장,4.8,33.2,97.4
IT,부장,6.2,48.8,106.9
영업,사원,5.4,35.6,89.8
재무,차장,2.8,43.1,92.9
재무,사원,8.1,37.4,82.3
인사,대리,10.6,50.1,108.4
인사,부장,3.9,40.6,92.9
인사,사원,7.4,44.3,100.3
재무,대리,9.1,40.4,99.0
IT,과장,1.4,37.1,80.5
인사,과장,8.2,49.7,109.5
재무,과장,6.3,42.7,108.8
영업,대리,6.4,36.1,97.2
재무,대리,5.9,39.2,89.7
재무,차장,0.8,40.1,94.2
영업,사원,10.8,44.2,101.7
영업,과장,5.6,43.0,101.4
IT,과장,10.0,40.7,107.3
인사,대리,9.6,35.0,84.9
재무,과장,6.1,42.4,96.5
인사,부장,7.5,40.1,93.1
IT,대리,6.4,45.8,92.5
재무,대리,11.8,43.7,95.0
인사,차장,6.3,31.5,84.9
인사,차장,5.9,40.4,104.0
재무,과장,14.7,38.1,105.0
IT,차장,9.4,43.2,104.5
영업,부장,15.4,42.3,109.3
재무,부장,12.7,37.3,105.8
IT,사원,10.2,41.0,101.5
인사,사원,11.1,39.0,100.5
인사,사원,10.6,47.2,103.4
IT,차장,11.6,35.5,100.2
영업,대리,4.8,33.8,83.4
IT,대리,6.8,42.5,96.0
IT,대리,4.6,44.2,93.6
인사,부장,2.3,51.4,97.4
IT,대리,4.5,35.0,91.4
영업,대리,6.3,35.1,89.3
인사,차장,6.1,40.2,94.4
재무,사원,8.5,41.8,102.9
영업,부장,12.6,39.8,113.7
인사,부장,3.9,42.5,92.7
IT,사원,9.4,39.5,94.3
재무,부장,7.3,47.3,108.6
IT,차장,12.7,47.7,113.1
IT,과장,6.4,34.7,98.6
재무,사원,8.5,40.3,87.5
영업,부장,9.1,41.3,108.3
재무,대리,7.4,37.7,95.6
재무,과장,8.2,41.6,104.5
인사,차장,5.5,51.1,102.5
재무,사원,12.4,38.2,103.0
인사,부장,7.0,49.1,105.1
영업,부장,2.9,50.7,108.6
인사,부장,4.0,40.8,95.4
IT,차장,8.2,36.1,93.1
IT,차장,10.0,48.1,106.2
재무,과장,5.7,48.9,103.7
영업,대리,8.1,34.9,91.5
영업,과장,7.3,38.1,105.6
IT,과장,7.0,37.2,93.3
재무,차장,9.7,45.0,98.7
IT,차장,6.4,32.3,89.8
인사,차장,5.9,43.8,106.0
영업,과장,4.5,39.3,93.8
IT,대리,11.3,43.6,97.4
영업,대리,5.2,39.6,86.7
IT,대리,3.5,38.5,81.8
인사,대리,6.3,39.4,95.5
인사,대리,6.8,34.9,91.3
재무,대리,11.5,42.0,93.2
재무,사원,7.3,47.9,95.6
영업,부장,8.6,38.5,111.2
재무,사원,4.4,37.7,90.8
인사,차장,6.1,48.9,102.4
재무,차장,3.8,35.8,85.7
재무,대리,3.2,33.4,81.2
영업,과장,4.7,40.1,98.7
영업,차장,4.8,35.5,79.2
재무,사원,7.0,34.2,96.5
영업,차장,9.4,48.7,113.9
재무,차장,7.6,37.8,95.1
인사,과장,8.9,43.3,96.2
IT,과장,7.6,40.3,97.6
IT,차장,8.6,36.9,104.8
IT,부장,7.8,46.0,109.4
IT,사원,2.6,42.7,95.4
영업,차장,2.5,46.7,100.9
인사,대리,5.8,37.9,90.8
인사,차장,4.4,49.9,100.0
영업,사원,8.3,33.0,93.0
IT,차장,5.7,38.9,92.5
IT,차장,10.1,39.7,102.9
영업,사원,9.1,46.1,102.7
재무,차장,4.4,45.8,96.6
IT,차장,10.2,44.2,106.0
IT,과장,5.4,48.0,95.6
IT,대리,5.3,45.1,93.5
재무,부장,6.6,38.0,106.2
영업,부장,5.6,40.0,97.6
재무,대리,10.6,39.8,98.8
인사,사원,13.9,44.3,107.9
인사,부장,1.4,34.8,89.9
재무,과장,6.1,49.6,104.2
인사,부장,9.2,33.0,88.4
인사,과장,5.1,44.1,85.9
인사,사원,5.1,31.8,89.3
재무,차장,7.0,38.8,91.1
인사,사원,8.0,41.4,95.7
재무,사원,5.6,47.7,87.4
IT,사원,11.8,35.4,90.4
영업,대리,7.6,34.7,85.6
영업,사원,9.3,41.1,96.5
재무,과장,9.2,30.0,88.6
인사,대리,6.8,40.4,88.7
IT,대리,5.0,44.5,83.0
IT,과장,9.6,50.9,115.6
인사,사원,11.3,51.5,99.7
인사,대리,7.3,30.6,83.4
IT,차장,5.9,51.6,92.8
영업,과장,6.1,30.0,95.1
인사,차장,3.0,35.7,87.3
재무,대리,7.8,45.9,103.5
IT,차장,10.4,44.7,108.0
IT,과장,10.9,43.5,115.5
인사,대리,11.6,41.6,93.5
IT,과장,8.7,43.8,102.1
재무,대리,7.8,35.8,86.5
인사,사원,6.6,38.3,81.9
IT,차장,5.7,35.4,97.0
재무,차장,9.1,40.0,101.7
IT,과장,6.9,41.9,89.7
재무,대리,7.9,42.3,99.5
재무,과장,3.2,39.5,93.1
영업,대리,8.9,41.4,104.8
영업,부장,6.5,41.4,103.7
영업,부장,7.4,42.6,111.8
